Month,Region,Product_Category,Sales_Channel,Units_Sold,Gross_Revenue_USD,Discounts_USD,Net_Revenue_USD,COGS_USD,Gross_Profit_USD,Gross_Margin_Pct,Marketing_Spend_USD,Net_Profit_USD,Customer_Acquisition_Count,Repeat_Customer_Pct
2025-10,North America,Home & Kitchen,Amazon,4400,352000,17600,334400,193952,140448,42.0,49000,91448,1960,36.5
2025-10,Europe,Fashion & Apparel,Social Shop,7600,456000,45600,410400,205200,205200,50.0,84000,121200,3180,44.0
2025-10,Asia-Pacific,Electronics,Wholesale,7100,1065000,106500,958500,670950,287550,30.0,22500,265050,177,75.0
2025-11,North America,Electronics,Direct Web,3800,760000,45600,714400,392920,321480,45.0,110000,211480,1720,54.5
2025-11,North America,Home & Kitchen,Amazon,5800,464000,27840,436160,253012,183148,42.0,68000,115148,2600,38.0
2025-11,Europe,Fashion & Apparel,Social Shop,9800,588000,47040,540960,270480,270480,50.0,115000,155480,4150,46.0
2025-11,Asia-Pacific,Electronics,Wholesale,8900,1335000,146850,1188150,831705,356445,30.0,28000,328445,220,76.5
2025-12,North America,Electronics,Direct Web,4200,840000,50400,789600,434280,355320,45.0,125000,230320,1910,56.0
2025-12,North America,Home & Kitchen,Amazon,6400,512000,30720,481280,279142,202138,42.0,75000,127138,2870,39.5
2025-12,Europe,Fashion & Apparel,Social Shop,10900,654000,52320,601680,300840,300840,50.0,128000,172840,4620,48.0
2025-12,Asia-Pacific,Electronics,Wholesale,9500,1425000,156750,1268250,887775,380475,30.0,30000,350475,235,78.0
